unit_id,name,S,P,V,INC,TOUR_acc,TOUR_ski,z_pop,z_cars,z_cars_income,z_cars_income_tour,z,p_two,q_fdr,lisa,lisa_p,border_band,dist_no_km,dist_fi_km
SE_2518,Övertorneå,4088.0,3,2581.0,296.4,14.0,5.0,-0.019,0.06,-0.391,-0.551,-0.551,0.4717168708769488,0.9927053949436064,ns,0.877,Finland,185.146,0.0
SE_2560,Älvsbyn,7783.0,4,5048.0,328.9,10.0,1.0,-0.392,-0.465,-0.594,-0.55,-0.55,0.5760557680235475,0.9927053949436064,ns,0.592,interior,210.817,123.591
SE_2161,Ljusdal,18538.0,12,11106.0,312.9,68.0,16.0,0.831,0.758,0.181,-0.547,-0.547,0.5936287919951748,0.9927053949436064,ns,0.225,interior,88.103,200.088
SE_1083,Sölvesborg,17475.0,9,10162.0,333.1,44.0,0.0,0.129,0.074,-0.1,-0.531,-0.531,0.661442091337889,0.9927053949436064,ns,0.682,interior,348.659,509.637
SE_0980,Gotland,61029.0,29,36964.0,321.2,123.0,0.0,1.556,1.166,0.378,-0.509,-0.509,0.6286794556655848,0.9927053949436064,ns,0.607,interior,408.549,165.461
SE_1444,Grästorp,5563.0,2,3514.0,339.3,1.0,0.0,-1.006,-1.009,-0.955,-0.505,-0.505,0.6352898536339167,0.9927053949436064,ns,0.947,interior,76.934,413.338
SE_1904,Skinnskatteberg,4348.0,2,2504.0,309.0,4.0,1.0,-0.567,-0.417,-0.681,-0.503,-0.503,0.4770487509717235,0.9927053949436064,ns,0.561,interior,164.935,183.827
SE_2183,Bollnäs,26414.0,12,15617.0,312.9,13.0,4.0,0.255,0.075,-0.816,-0.488,-0.488,0.6866179798263032,0.9927053949436064,ns,0.512,interior,168.527,163.519
SE_2580,Luleå,79352.0,22,41902.0,373.0,81.0,5.0,0.183,-0.103,0.309,-0.486,-0.486,0.6682509036102566,0.9927053949436064,ns,0.989,interior,250.365,60.115
SE_0162,Danderyd,32419.0,3,17952.0,502.6,1.0,0.0,-2.384,-2.649,-0.891,-0.437,-0.437,0.660935100263891,0.9927053949436064,LL,0.001,interior,317.365,108.329
SE_1814,Lekeberg,8606.0,3,5005.0,359.7,5.0,0.0,-0.917,-0.89,-0.599,-0.426,-0.426,0.662570530006938,0.9927053949436064,ns,0.645,interior,149.586,261.044
SE_1275,Perstorp,7323.0,3,3546.0,293.6,3.0,0.0,-0.566,-0.265,-0.901,-0.412,-0.412,0.5244938539686016,0.9927053949436064,ns,0.89,interior,310.252,552.137
SE_2321,Åre,12464.0,9,7372.0,349.4,197.0,91.0,0.702,0.73,1.078,-0.41,-0.41,0.6465021669650227,0.9927053949436064,ns,0.149,Norway,0.0,312.372
SE_1427,Sotenäs,9052.0,4,5352.0,355.7,24.0,0.0,-0.419,-0.398,-0.103,-0.409,-0.409,0.5641951307073612,0.9927053949436064,ns,0.356,interior,42.345,479.427
SE_0136,Haninge,99751.0,18,35714.0,366.2,43.0,1.0,-0.677,-0.297,-0.126,-0.406,-0.406,0.6425747383118294,0.9927053949436064,LL,0.001,interior,323.982,106.262
SE_1272,Bromölla,12498.0,5,6913.0,326.8,7.0,0.0,-0.496,-0.444,-0.701,-0.395,-0.395,0.6349859525048129,0.9927053949436064,ns,0.726,interior,341.486,511.235
SE_2460,Vännäs,9059.0,4,5128.0,353.0,10.0,2.0,-0.627,-0.559,-0.324,-0.383,-0.383,0.7566323657971566,0.9927053949436064,ns,0.296,interior,257.12,69.109
SE_0882,Oskarshamn,26918.0,10,14865.0,355.1,24.0,1.0,-0.267,-0.365,-0.245,-0.382,-0.382,0.8163910858732395,0.9927053949436064,ns,0.361,interior,303.618,307.573
SE_1465,Svenljunga,10759.0,6,6290.0,322.2,22.0,1.0,0.019,0.049,-0.21,-0.378,-0.378,0.6508753942245143,0.9927053949436064,ns,0.201,interior,162.517,448.772
SE_0186,Lidingö,48324.0,6,18303.0,449.0,8.0,1.0,-2.063,-1.818,-0.423,-0.376,-0.376,0.8339682138700979,0.9927053949436064,LL,0.001,interior,324.354,105.321
SE_2582,Boden,27943.0,12,16857.0,355.6,48.0,6.0,0.224,-0.01,0.181,-0.368,-0.368,0.7227039658291315,0.9927053949436064,ns,0.497,interior,207.501,67.49
SE_1081,Ronneby,29021.0,15,16726.0,316.0,41.0,0.0,0.692,0.567,-0.164,-0.367,-0.367,0.8037513445270791,0.9927053949436064,ns,0.405,interior,339.05,455.503
SE_2132,Nordanstig,9370.0,7,5864.0,307.6,26.0,8.0,0.466,0.447,-0.046,-0.349,-0.349,0.7086144017749189,0.9927053949436064,ns,0.1,interior,193.085,185.06
SE_1863,Hällefors,6495.0,5,3538.0,291.2,18.0,6.0,0.255,0.474,-0.162,-0.344,-0.344,0.6769707971107627,0.9927053949436064,LL,0.014,interior,103.25,241.827
SE_1440,Ale,32446.0,7,15900.0,385.8,4.0,3.0,-1.191,-1.2,-0.667,-0.33,-0.33,0.7812246750534908,0.9927053949436064,ns,0.132,interior,97.446,453.663
SE_1276,Klippan,17723.0,8,10373.0,318.1,10.0,0.0,-0.056,-0.137,-0.702,-0.328,-0.328,0.7191282935563796,0.9927053949436064,ns,0.774,interior,309.662,562.229
SE_1907,Surahammar,9934.0,4,5545.0,340.1,5.0,0.0,-0.684,-0.616,-0.598,-0.32,-0.32,0.7647873230314759,0.9927053949436064,ns,0.839,interior,193.364,168.836
